id,balls_per_over,team,team_1,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire_2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,Column1
412683,6,Australia,Pakistan,male,2010,02-05-10,ICC World Twenty20,6,"Beausejour Stadium, Gros Islet",St Lucia,Australia,bat,SR Watson,EAR de Silva,SK Tarapore,RJ Tucker,M Erasmus,RS Madugalle,Australia,34,,2.1.0
412684,6,New Zealand,Zimbabwe,male,2010,04-05-10,ICC World Twenty20,9,Providence Stadium,Guyana,New Zealand,field,NL McCullum,Asad Rauf,SJ Davis,BF Bowden,IJ Gould,AG Hurst,New Zealand,7,,2.1.0
412685,6,West Indies,England,male,2010,03-05-10,ICC World Twenty20,8,Providence Stadium,Guyana,West Indies,field,DJG Sammy,AL Hill,RE Koertzen,Asad Rauf,BF Bowden,AG Hurst,West Indies,,8,2.1.0
412686,6,Sri Lanka,Zimbabwe,male,2010,03-05-10,ICC World Twenty20,7,Providence Stadium,Guyana,Sri Lanka,bat,DPMD Jayawardene,BR Doctrove,IJ Gould,AL Hill,SJ Davis,AG Hurst,Sri Lanka,14,,2.1.0
412687,6,Afghanistan,South Africa,male,2010,05-05-10,ICC World Twenty20,12,"Kensington Oval, Bridgetown",Barbados,Afghanistan,field,M Morkel,IJ Gould,SJA Taufel,Aleem Dar,BR Doctrove,RS Madugalle,South Africa,59,,2.1.0
412688,6,Australia,Bangladesh,male,2010,05-05-10,ICC World Twenty20,11,"Kensington Oval, Bridgetown",Barbados,Australia,bat,MEK Hussey,Aleem Dar,BR Doctrove,SJA Taufel,RE Koertzen,RS Madugalle,Australia,27,,2.1.0
412689,6,England,Pakistan,male,2010,06-05-10,ICC World Twenty20,13,"Kensington Oval, Bridgetown",Barbados,England,field,KP Pietersen,BF Bowden,RE Koertzen,Aleem Dar,SJA Taufel,AG Hurst,England,,6,2.1.0
412690,6,New Zealand,South Africa,male,2010,06-05-10,ICC World Twenty20,14,"Kensington Oval, Bridgetown",Barbados,South Africa,bat,JA Morkel,Aleem Dar,SJ Davis,SJA Taufel,BR Doctrove,AG Hurst,South Africa,13,,2.1.0
412691,6,Australia,India,male,2010,07-05-10,ICC World Twenty20,15,"Kensington Oval, Bridgetown",Barbados,India,field,DA Warner,BF Bowden,BR Doctrove,RE Koertzen,IJ Gould,RS Madugalle,Australia,49,,2.1.0
412692,6,West Indies,Sri Lanka,male,2010,07-05-10,ICC World Twenty20,16,"Kensington Oval, Bridgetown",Barbados,Sri Lanka,bat,DPMD Jayawardene,RE Koertzen,SJA Taufel,SJ Davis,Aleem Dar,AG Hurst,Sri Lanka,57,,2.1.0
412693,6,New Zealand,Pakistan,male,2010,08-05-10,ICC World Twenty20,17,"Kensington Oval, Bridgetown",Barbados,Pakistan,field,IG Butler,BR Doctrove,IJ Gould,BF Bowden,RE Koertzen,RS Madugalle,New Zealand,1,,2.1.0
412694,6,England,South Africa,male,2010,08-05-10,ICC World Twenty20,18,"Kensington Oval, Bridgetown",Barbados,England,bat,KP Pietersen,Aleem Dar,SJ Davis,IJ Gould,SJA Taufel,AG Hurst,England,39,,2.1.0
412695,6,West Indies,India,male,2010,09-05-10,ICC World Twenty20,19,"Kensington Oval, Bridgetown",Barbados,India,field,CH Gayle,BF Bowden,SJA Taufel,BR Doctrove,SJ Davis,JJ Crowe,West Indies,14,,2.1.0
412696,6,Australia,Sri Lanka,male,2010,09-05-10,ICC World Twenty20,20,"Kensington Oval, Bridgetown",Barbados,Australia,bat,CL White,IJ Gould,RE Koertzen,SJ Davis,BR Doctrove,JJ Crowe,Australia,81,,2.1.0
412697,6,Pakistan,South Africa,male,2010,10-05-10,ICC World Twenty20,21,"Beausejour Stadium, Gros Islet",St Lucia,Pakistan,bat,Umar Akmal,BR Doctrove,IJ Gould,SJA Taufel,BF Bowden,AG Hurst,Pakistan,11,,2.1.0
412698,6,England,New Zealand,male,2010,10-05-10,ICC World Twenty20,22,"Beausejour Stadium, Gros Islet",St Lucia,New Zealand,bat,TT Bresnan,SJ Davis,SJA Taufel,RE Koertzen,Aleem Dar,RS Madugalle,England,,3,2.1.0
412699,6,India,Sri Lanka,male,2010,11-05-10,ICC World Twenty20,23,"Beausejour Stadium, Gros Islet",St Lucia,India,bat,AD Mathews,Aleem Dar,SJ Davis,BR Doctrove,IJ Gould,AG Hurst,Sri Lanka,,5,2.1.0
412700,6,West Indies,Australia,male,2010,11-05-10,ICC World Twenty20,24,"Beausejour Stadium, Gros Islet",St Lucia,West Indies,bat,SPD Smith,BF Bowden,RE Koertzen,Aleem Dar,SJ Davis,RS Madugalle,Australia,,6,2.1.0
412701,6,England,Sri Lanka,male,2010,13-05-10,ICC World Twenty20,,"Beausejour Stadium, Gros Islet",St Lucia,Sri Lanka,bat,SCJ Broad,Aleem Dar,SJA Taufel,RE Koertzen,SJ Davis,AG Hurst,England,,7,2.1.0
412702,6,Australia,Pakistan,male,2010,14-05-10,ICC World Twenty20,,"Beausejour Stadium, Gros Islet",St Lucia,Australia,field,MEK Hussey,BR Doctrove,IJ Gould,RE Koertzen,BF Bowden,RS Madugalle,Australia,,3,2.1.0
412703,6,Australia,England,male,2010,16-05-10,ICC World Twenty20,,"Kensington Oval, Bridgetown",Barbados,England,field,C Kieswetter,Aleem Dar,BR Doctrove,RE Koertzen,BF Bowden,RS Madugalle,England,,7,2.1.0
423782,6,New Zealand,Bangladesh,male,2009/10,03-02-10,,,Seddon Park,Hamilton,Bangladesh,bat,DL Vettori,GAV Baxter,CB Gaffaney,PD Jones,EA Watkin,AG Hurst,New Zealand,,10,2.1.0
423787,6,New Zealand,Australia,male,2009/10,26-02-10,Australia in New Zealand T20I Series,1,Westpac Stadium,Wellington,New Zealand,bat,MG Johnson,GAV Baxter,BF Bowden,CB Gaffaney,EA Watkin,RS Madugalle,Australia,,6,2.1.0
423788,6,New Zealand,Australia,male,2009/10,28-02-10,Australia in New Zealand T20I Series,2,AMI Stadium,Christchurch,New Zealand,bat,BB McCullum,CB Gaffaney,AL Hill,EA Watkin,GAV Baxter,RS Madugalle,,,,2.1.0
426392,6,Australia,Pakistan,male,2010,05-07-10,MCC Spirit of Cricket T20I Series,1,Edgbaston,Birmingham,Pakistan,bat,Umar Akmal,Aleem Dar,Asad Rauf,Zameer Haider,Ahsan Raza,J Srinath,Pakistan,23,,2.1.0
